EventTag,Latitude,Longitude,Tags
RiotsOrProtests,29.94644,30.91687,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,5.10658,7.36667,RiotsOrProtests
RiotsOrProtests,6.31625,8.11691,RiotsOrProtests
RiotsOrProtests,2.04045,45.36,RiotsOrProtests
RiotsOrProtests,13.8167,20.8167,RiotsOrProtests
RiotsOrProtests,7.15,3.35,RiotsOrProtests
RiotsOrProtests,7.15,3.35,RiotsOrProtests
RiotsOrProtests,5.34111,-4.02809,RiotsOrProtests
RiotsOrProtests,5.34111,-4.02809,RiotsOrProtests
RiotsOrProtests,9.8667,38.45,RiotsOrProtests
RiotsOrProtests,9.8667,38.45,RiotsOrProtests
RiotsOrProtests,22.3457,31.61624,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.08333,7.53333,RiotsOrProtests
RiotsOrProtests,9.59525,28.43493,RiotsOrProtests
RiotsOrProtests,5.55602,-0.1969,RiotsOrProtests
RiotsOrProtests,5.55602,-0.1969,RiotsOrProtests
RiotsOrProtests,32.41423,14.79335,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,9.03333,38.7,RiotsOrProtests
RiotsOrProtests,7.621,5.2215,RiotsOrProtests
RiotsOrProtests,7.621,5.2215,RiotsOrProtests
RiotsOrProtests,7.621,5.2215,RiotsOrProtests
RiotsOrProtests,7.621,5.2215,RiotsOrProtests
RiotsOrProtests,6.11982,1.19012,RiotsOrProtests
RiotsOrProtests,30.42013,-9.59802,RiotsOrProtests
RiotsOrProtests,6.50525,3.10306,RiotsOrProtests
RiotsOrProtests,4.867,-2.205,RiotsOrProtests
RiotsOrProtests,36.80277,2.92185,RiotsOrProtests
RiotsOrProtests,35.30343,-1.14517,RiotsOrProtests
RiotsOrProtests,7.28333,38.35,RiotsOrProtests
RiotsOrProtests,5.31278,8.35536,RiotsOrProtests
RiotsOrProtests,4.88688,7.35686,RiotsOrProtests
RiotsOrProtests,32.76272,21.75506,RiotsOrProtests
RiotsOrProtests,29.30995,30.8418,RiotsOrProtests
RiotsOrProtests,29.30995,30.8418,RiotsOrProtests
RiotsOrProtests,29.99313,31.1309,RiotsOrProtests
RiotsOrProtests,30.00808,31.21093,RiotsOrProtests
RiotsOrProtests,32.64861,14.26191,RiotsOrProtests
RiotsOrProtests,30.1235,31.3115,RiotsOrProtests
RiotsOrProtests,30.1235,31.3115,RiotsOrProtests
RiotsOrProtests,34.60433,9.60815,RiotsOrProtests
RiotsOrProtests,34.60433,9.60815,RiotsOrProtests
RiotsOrProtests,34.60433,9.60815,RiotsOrProtests
RiotsOrProtests,34.60433,9.60815,RiotsOrProtests
RiotsOrProtests,34.60433,9.60815,RiotsOrProtests
RiotsOrProtests,34.60433,9.60815,RiotsOrProtests
RiotsOrProtests,34.60433,9.60815,RiotsOrProtests
RiotsOrProtests,34.60433,9.60815,RiotsOrProtests
RiotsOrProtests,30.03389,31.23215,RiotsOrProtests
RiotsOrProtests,8.01667,4.13333,RiotsOrProtests
RiotsOrProtests,6.60962,3.35658,RiotsOrProtests
RiotsOrProtests,6.60962,3.35658,RiotsOrProtests
RiotsOrProtests,-26.26786,28.12225,RiotsOrProtests
RiotsOrProtests,30.04001,31.25953,RiotsOrProtests
RiotsOrProtests,30.04001,31.25953,RiotsOrProtests
RiotsOrProtests,30.04001,31.25953,RiotsOrProtests
RiotsOrProtests,31.1981,29.9192,RiotsOrProtests
RiotsOrProtests,31.1981,29.9192,RiotsOrProtests
RiotsOrProtests,7.83333,36.53333,RiotsOrProtests
RiotsOrProtests,36.7525,3.04197,RiotsOrProtests
RiotsOrProtests,36.7525,3.04197,RiotsOrProtests
RiotsOrProtests,36.7525,3.04197,RiotsOrProtests
RiotsOrProtests,7.25,39.93333,RiotsOrProtests
RiotsOrProtests,-32.78749,26.8344,RiotsOrProtests
RiotsOrProtests,9.38694,43.5175,RiotsOrProtests
RiotsOrProtests,4.96917,6.10972,RiotsOrProtests
RiotsOrProtests,-17.98158,45.99055,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,8.9833,37.85,RiotsOrProtests
RiotsOrProtests,-18.9,47.53333,RiotsOrProtests
RiotsOrProtests,9.98333,36.96667,RiotsOrProtests
RiotsOrProtests,9.98333,36.96667,RiotsOrProtests
RiotsOrProtests,9.98333,36.96667,RiotsOrProtests
RiotsOrProtests,9.98333,36.96667,RiotsOrProtests
RiotsOrProtests,-18.9,47.51667,RiotsOrProtests
RiotsOrProtests,-18.9,47.51667,RiotsOrProtests
RiotsOrProtests,36.9,7.76667,RiotsOrProtests
RiotsOrProtests,-12.2667,49.2833,RiotsOrProtests
RiotsOrProtests,6.44556,3.35917,RiotsOrProtests
RiotsOrProtests,6.44556,3.35917,RiotsOrProtests
RiotsOrProtests,7.70927,5.04474,RiotsOrProtests
RiotsOrProtests,-25.7464,28.22137,RiotsOrProtests
RiotsOrProtests,6.697446,3.415692,RiotsOrProtests
RiotsOrProtests,36.86012,10.19337,RiotsOrProtests
RiotsOrProtests,8.75,36.5,RiotsOrProtests
RiotsOrProtests,35.8517,-0.3214,RiotsOrProtests
RiotsOrProtests,30.02952,31.24081,RiotsOrProtests
RiotsOrProtests,6.20064,6.73385,RiotsOrProtests
RiotsOrProtests,6.20064,6.73385,RiotsOrProtests
RiotsOrProtests,6.20064,6.73385,RiotsOrProtests
RiotsOrProtests,6.20064,6.73385,RiotsOrProtests
RiotsOrProtests,6.20064,6.73385,RiotsOrProtests
RiotsOrProtests,6.20064,6.73385,RiotsOrProtests
RiotsOrProtests,9.27766,40.57245,RiotsOrProtests
RiotsOrProtests,9.27766,40.57245,RiotsOrProtests
RiotsOrProtests,9.27766,40.57245,RiotsOrProtests
RiotsOrProtests,7.1,39.2,RiotsOrProtests
RiotsOrProtests,7.1,39.2,RiotsOrProtests
RiotsOrProtests,7.1,39.2,RiotsOrProtests
RiotsOrProtests,7.1,39.2,RiotsOrProtests
RiotsOrProtests,9.08333,40.86667,RiotsOrProtests
RiotsOrProtests,9.08333,40.86667,RiotsOrProtests
RiotsOrProtests,9.08333,40.86667,RiotsOrProtests
RiotsOrProtests,9.08333,40.86667,RiotsOrProtests
RiotsOrProtests,9.08333,40.86667,RiotsOrProtests
RiotsOrProtests,9.08333,40.86667,RiotsOrProtests
RiotsOrProtests,9.78333,38.55,RiotsOrProtests
RiotsOrProtests,9.78333,38.55,RiotsOrProtests
RiotsOrProtests,9.78333,38.55,RiotsOrProtests
RiotsOrProtests,7.95,39.13333,RiotsOrProtests
RiotsOrProtests,7.95,39.13333,RiotsOrProtests
RiotsOrProtests,9.01911,38.02136,RiotsOrProtests
RiotsOrProtests,30.29857,30.97635,RiotsOrProtests
RiotsOrProtests,28.60986,-9.42986,RiotsOrProtests
RiotsOrProtests,28.60986,-9.42986,RiotsOrProtests
RiotsOrProtests,7.69973,-2.97847,RiotsOrProtests
RiotsOrProtests,24.09082,32.89942,RiotsOrProtests
RiotsOrProtests,36.32847,4.31055,RiotsOrProtests
RiotsOrProtests,-33.96258,18.5016,RiotsOrProtests
RiotsOrProtests,-33.96258,18.5016,RiotsOrProtests
RiotsOrProtests,-33.56667,18.48333,RiotsOrProtests
RiotsOrProtests,-25.77278,28.06778,RiotsOrProtests
RiotsOrProtests,-29.94492,30.97781,RiotsOrProtests
RiotsOrProtests,9.35773,42.04582,RiotsOrProtests
RiotsOrProtests,9.35773,42.04582,RiotsOrProtests
RiotsOrProtests,8.78628,27.40153,RiotsOrProtests
RiotsOrProtests,6.2101,7.07412,RiotsOrProtests
RiotsOrProtests,9.1,35.4,RiotsOrProtests
RiotsOrProtests,9.1,35.4,RiotsOrProtests
RiotsOrProtests,30.06418,31.22009,RiotsOrProtests
RiotsOrProtests,30.06418,31.22009,RiotsOrProtests
RiotsOrProtests,32.7571,12.72764,RiotsOrProtests
RiotsOrProtests,36.79239,3.05217,RiotsOrProtests
RiotsOrProtests,9.2167,42.3333,RiotsOrProtests
RiotsOrProtests,9.2167,42.3333,RiotsOrProtests
RiotsOrProtests,9.2167,42.3333,RiotsOrProtests
RiotsOrProtests,9.2167,42.3333,RiotsOrProtests
RiotsOrProtests,9.2167,42.3333,RiotsOrProtests
RiotsOrProtests,9.2167,42.3333,RiotsOrProtests
RiotsOrProtests,10.71344,48.33253,RiotsOrProtests
RiotsOrProtests,30.13514,31.27421,RiotsOrProtests
RiotsOrProtests,3.11718,43.6469,RiotsOrProtests
RiotsOrProtests,9.13333,37.05,RiotsOrProtests
RiotsOrProtests,9.13306,42.07833,RiotsOrProtests
RiotsOrProtests,9.13306,42.07833,RiotsOrProtests
RiotsOrProtests,5.70193,22.78173,RiotsOrProtests
RiotsOrProtests,6.4167,39.75,RiotsOrProtests
RiotsOrProtests,5.76485,20.65418,RiotsOrProtests
RiotsOrProtests,10.6333,-4.7667,RiotsOrProtests
RiotsOrProtests,10.6333,-4.7667,RiotsOrProtests
RiotsOrProtests,5.90389,10.37816,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,4.36197,18.58664,RiotsOrProtests
RiotsOrProtests,29.07441,31.09785,RiotsOrProtests
RiotsOrProtests,-33.97152,18.57504,RiotsOrProtests
RiotsOrProtests,-33.97152,18.57504,RiotsOrProtests
RiotsOrProtests,9.08333,-12.75,RiotsOrProtests
RiotsOrProtests,30.94228,30.81566,RiotsOrProtests
RiotsOrProtests,5.20194,-3.735,RiotsOrProtests
RiotsOrProtests,35.5553,6.1786,RiotsOrProtests
RiotsOrProtests,35.5553,6.1786,RiotsOrProtests
RiotsOrProtests,35.5553,6.1786,RiotsOrProtests
RiotsOrProtests,10.31344,9.84327,RiotsOrProtests
RiotsOrProtests,10.31344,9.84327,RiotsOrProtests
RiotsOrProtests,31.6167,-2.2167,RiotsOrProtests
RiotsOrProtests,9.11453,41.63348,RiotsOrProtests
RiotsOrProtests,9.11453,41.63348,RiotsOrProtests
RiotsOrProtests,9.11453,41.63348,RiotsOrProtests
RiotsOrProtests,8.90414,40.78191,RiotsOrProtests
RiotsOrProtests,8.90414,40.78191,RiotsOrProtests
RiotsOrProtests,8.90414,40.78191,RiotsOrProtests
RiotsOrProtests,9.26667,34.53333,RiotsOrProtests
RiotsOrProtests,36.72564,9.18169,RiotsOrProtests
RiotsOrProtests,36.72564,9.18169,RiotsOrProtests
RiotsOrProtests,36.72564,9.18169,RiotsOrProtests
RiotsOrProtests,36.72564,9.18169,RiotsOrProtests
RiotsOrProtests,36.72564,9.18169,RiotsOrProtests
RiotsOrProtests,36.72564,9.18169,RiotsOrProtests
RiotsOrProtests,36.75,5.0833,RiotsOrProtests
RiotsOrProtests,7.53333,39.25,RiotsOrProtests
RiotsOrProtests,7.53333,39.25,RiotsOrProtests
RiotsOrProtests,-33.9,18.63333,RiotsOrProtests
RiotsOrProtests,-33.9,18.63333,RiotsOrProtests
RiotsOrProtests,-33.9,18.63333,RiotsOrProtests
RiotsOrProtests,-33.9,18.63333,RiotsOrProtests
RiotsOrProtests,-33.9,18.63333,RiotsOrProtests
RiotsOrProtests,-33.9,18.63333,RiotsOrProtests
RiotsOrProtests,36.74442,10.23382,RiotsOrProtests
RiotsOrProtests,34.95234,-0.91609,RiotsOrProtests
RiotsOrProtests,36.62024,2.87639,RiotsOrProtests
RiotsOrProtests,33.13783,11.21965,RiotsOrProtests
RiotsOrProtests,32.11766,20.12928,RiotsOrProtests
RiotsOrProtests,6.33505,5.62749,RiotsOrProtests
RiotsOrProtests,6.33505,5.62749,RiotsOrProtests
RiotsOrProtests,6.33505,5.62749,RiotsOrProtests
RiotsOrProtests,6.33505,5.62749,RiotsOrProtests
RiotsOrProtests,-29.85185,30.99337,RiotsOrProtests
RiotsOrProtests,-33.88856,25.51242,RiotsOrProtests
RiotsOrProtests,-33.88856,25.51242,RiotsOrProtests
RiotsOrProtests,-32.84721,27.44218,RiotsOrProtests
RiotsOrProtests,-32.84721,27.44218,RiotsOrProtests
RiotsOrProtests,-32.84721,27.44218,RiotsOrProtests
RiotsOrProtests,9.08333,6.01667,RiotsOrProtests
RiotsOrProtests,4.32962,18.52299,RiotsOrProtests
RiotsOrProtests,34.93212,9.19321,RiotsOrProtests
RiotsOrProtests,34.93212,9.19321,RiotsOrProtests
RiotsOrProtests,32.61072,-8.629494,RiotsOrProtests
RiotsOrProtests,30.63167,31.08306,RiotsOrProtests
RiotsOrProtests,9.1,37.25,RiotsOrProtests
RiotsOrProtests,-33.94728,18.57513,RiotsOrProtests
RiotsOrProtests,34.85038,5.72805,RiotsOrProtests
RiotsOrProtests,34.85038,5.72805,RiotsOrProtests
RiotsOrProtests,34.85038,5.72805,RiotsOrProtests
RiotsOrProtests,34.85038,5.72805,RiotsOrProtests
RiotsOrProtests,34.85038,5.72805,RiotsOrProtests
RiotsOrProtests,9.3667,41.1667,RiotsOrProtests
RiotsOrProtests,37.27442,9.87391,RiotsOrProtests
RiotsOrProtests,37.27442,9.87391,RiotsOrProtests
RiotsOrProtests,37.27442,9.87391,RiotsOrProtests
RiotsOrProtests,37.27442,9.87391,RiotsOrProtests
RiotsOrProtests,-29.13333,26.2,RiotsOrProtests
RiotsOrProtests,-29.13333,26.2,RiotsOrProtests
RiotsOrProtests,6.98329,15.64622,RiotsOrProtests
RiotsOrProtests,12.97,-0.15,RiotsOrProtests
RiotsOrProtests,-26.21667,28.25,RiotsOrProtests
RiotsOrProtests,2.04555,45.34,RiotsOrProtests
RiotsOrProtests,-33.85533,25.47192,RiotsOrProtests
RiotsOrProtests,-26.22869,28.02561,RiotsOrProtests
RiotsOrProtests,9.93869,43.18392,RiotsOrProtests
RiotsOrProtests,9.93869,43.18392,RiotsOrProtests
RiotsOrProtests,9.93869,43.18392,RiotsOrProtests
RiotsOrProtests,9.93869,43.18392,RiotsOrProtests
RiotsOrProtests,9.93869,43.18392,RiotsOrProtests
RiotsOrProtests,9.2333,40.75,RiotsOrProtests
RiotsOrProtests,4.67366,7.36201,RiotsOrProtests
RiotsOrProtests,4.67366,7.36201,RiotsOrProtests
RiotsOrProtests,4.67366,7.36201,RiotsOrProtests
RiotsOrProtests,11.28366,49.1806,RiotsOrProtests
RiotsOrProtests,11.28366,49.1806,RiotsOrProtests
RiotsOrProtests,11.28366,49.1806,RiotsOrProtests
RiotsOrProtests,7.68333,-5.0167,RiotsOrProtests
RiotsOrProtests,36.38,3.9014,RiotsOrProtests
RiotsOrProtests,36.38,3.9014,RiotsOrProtests
RiotsOrProtests,36.38,3.9014,RiotsOrProtests
RiotsOrProtests,36.61691,8.96685,RiotsOrProtests
RiotsOrProtests,36.61691,8.96685,RiotsOrProtests
RiotsOrProtests,-26.19816,28.02194,RiotsOrProtests
RiotsOrProtests,-26.19816,28.02194,RiotsOrProtests
RiotsOrProtests,-26.19816,28.02194,RiotsOrProtests
RiotsOrProtests,-22.465,17.07694,RiotsOrProtests
RiotsOrProtests,-22.465,17.07694,RiotsOrProtests
RiotsOrProtests,-22.465,17.07694,RiotsOrProtests
RiotsOrProtests,-4.26,15.28,RiotsOrProtests
RiotsOrProtests,34.91005,-1.32182,RiotsOrProtests
RiotsOrProtests,-0.71205,30.52333,RiotsOrProtests
RiotsOrProtests,-3.08875,30.06183,RiotsOrProtests
RiotsOrProtests,0.5714,33.7417,RiotsOrProtests
RiotsOrProtests,-3.3772,29.358,RiotsOrProtests
RiotsOrProtests,-3.3772,29.358,RiotsOrProtests
RiotsOrProtests,-2.5,28.8667,RiotsOrProtests
RiotsOrProtests,-2.5,28.8667,RiotsOrProtests
RiotsOrProtests,-2.5,28.8667,RiotsOrProtests
RiotsOrProtests,30.06041,31.23147,RiotsOrProtests
RiotsOrProtests,-20.15,28.58,RiotsOrProtests
RiotsOrProtests,-20.15,28.58,RiotsOrProtests
RiotsOrProtests,9.21667,38.5,RiotsOrProtests
