fulcrum_id,FacilityType,latitude,longitude
1,Battle-NoTerritoryChange,29.94644,30.91687
2,RiotsOrProtests,29.94644,30.91687
3,ViolenceAgainstCivilians,29.94644,30.91687
4,ViolenceAgainstCivilians,5.10658,7.36667
5,RiotsOrProtests,5.10658,7.36667
6,RiotsOrProtests,5.10658,7.36667
7,RiotsOrProtests,5.10658,7.36667
8,RiotsOrProtests,5.10658,7.36667
9,RiotsOrProtests,5.10658,7.36667
10,ViolenceAgainstCivilians,5.10658,7.36667
11,Battle-NoTerritoryChange,13.62649,13.25159
12,Battle-NoTerritoryChange,8.46667,6.95
13,ViolenceAgainstCivilians,8.46667,6.95
14,RiotsOrProtests,6.31625,8.11691
15,ViolenceAgainstCivilians,4.76492,6.84138
16,Battle-NoTerritoryChange,4.1209,44.03645
17,Battle-NoTerritoryChange,8.57286,36.12075
18,Battle-NoTerritoryChange,-0.49056,42.19694
19,Battle-NoTerritoryChange,-0.49056,42.19694
20,ViolenceAgainstCivilians,14.43805,24.53052
21,RiotsOrProtests,2.04045,45.36
22,RiotsOrProtests,13.8167,20.8167
23,RiotsOrProtests,7.15,3.35
24,RiotsOrProtests,7.15,3.35
25,ViolenceAgainstCivilians,6.8362,7.2349
26,StrategicDevelopment,5.34111,-4.02809
27,RiotsOrProtests,5.34111,-4.02809
28,RiotsOrProtests,5.34111,-4.02809
29,RemoteViolence,1.72452,44.65065
30,Battle-NoTerritoryChange,1.72452,44.65065
31,RiotsOrProtests,9.8667,38.45
32,RiotsOrProtests,9.8667,38.45
33,Battle-NoTerritoryChange,11.67952,30.4519
34,RemoteViolence,11.67952,30.4519
35,Battle-NoTerritoryChange,31.45162,15.24744
36,ViolenceAgainstCivilians,30.53766,31.67875
37,ViolenceAgainstCivilians,30.53766,31.67875
38,Battle-NoTerritoryChange,30.72508,31.67148
39,RemoteViolence,12.148154,30.794822
40,Battle-NoTerritoryChange,12.14815,30.79482
41,Battle-NoTerritoryChange,12.14815,30.79482
42,Battle-NoTerritoryChange,7.71667,27.85
43,RiotsOrProtests,22.3457,31.61624
44,ViolenceAgainstCivilians,4.85678,6.64417
45,ViolenceAgainstCivilians,7.0613,9.02815
46,RiotsOrProtests,9.08333,7.53333
47,RiotsOrProtests,9.08333,7.53333
48,RiotsOrProtests,9.08333,7.53333
49,RiotsOrProtests,9.08333,7.53333
50,RiotsOrProtests,9.08333,7.53333
51,RiotsOrProtests,9.08333,7.53333
52,RiotsOrProtests,9.08333,7.53333
53,RiotsOrProtests,9.08333,7.53333
54,RiotsOrProtests,9.08333,7.53333
55,RiotsOrProtests,9.08333,7.53333
56,RiotsOrProtests,9.08333,7.53333
57,RiotsOrProtests,9.08333,7.53333
58,RiotsOrProtests,9.08333,7.53333
59,RiotsOrProtests,9.08333,7.53333
60,RiotsOrProtests,9.08333,7.53333
61,RiotsOrProtests,9.08333,7.53333
62,RiotsOrProtests,9.08333,7.53333
63,RiotsOrProtests,9.08333,7.53333
64,RiotsOrProtests,9.08333,7.53333
65,RiotsOrProtests,9.08333,7.53333
66,RiotsOrProtests,9.08333,7.53333
67,RiotsOrProtests,9.08333,7.53333
68,RiotsOrProtests,9.08333,7.53333
69,RemoteViolence,9.08333,7.53333
70,ViolenceAgainstCivilians,9.08333,7.53333
71,ViolenceAgainstCivilians,9.08333,7.53333
72,StrategicDevelopment,9.59525,28.43493
73,RiotsOrProtests,9.59525,28.43493
74,RiotsOrProtests,5.55602,-0.1969
75,RiotsOrProtests,5.55602,-0.1969
76,ViolenceAgainstCivilians,5.55602,-0.1969
77,RiotsOrProtests,32.41423,14.79335
78,ViolenceAgainstCivilians,14.00063,32.31757
79,ViolenceAgainstCivilians,7,39.4
80,ViolenceAgainstCivilians,7.8731,8.046
81,Battle-NoTerritoryChange,6.5,13.5
82,Battle-NoTerritoryChange,3.5484,46.54585
83,StrategicDevelopment,9.03333,38.7
84,StrategicDevelopment,9.03333,38.7
85,RiotsOrProtests,9.03333,38.7
86,RiotsOrProtests,9.03333,38.7
87,RiotsOrProtests,9.03333,38.7
88,RiotsOrProtests,9.03333,38.7
89,RiotsOrProtests,9.03333,38.7
90,RiotsOrProtests,9.03333,38.7
91,RiotsOrProtests,9.03333,38.7
92,RiotsOrProtests,9.03333,38.7
93,RiotsOrProtests,9.03333,38.7
94,RiotsOrProtests,9.03333,38.7
95,StrategicDevelopment,9.03333,38.7
96,ViolenceAgainstCivilians,9.03333,38.7
97,ViolenceAgainstCivilians,7.621,5.2215
98,StrategicDevelopment,7.621,5.2215
99,RiotsOrProtests,7.621,5.2215
100,RiotsOrProtests,7.621,5.2215
101,RiotsOrProtests,7.621,5.2215
102,RiotsOrProtests,7.621,5.2215
103,ViolenceAgainstCivilians,8.19,30.32
104,NonViolentTerritoryTransfer,6.49698,48.78326
105,Battle-NoTerritoryChange,6.49698,48.78326
106,Battle-NoTerritoryChange,6.49698,48.78326
107,RemoteViolence,2.15,45.116
108,Battle-NoTerritoryChange,2.15,45.116
109,Battle-NoTerritoryChange,2.15,45.116
110,Battle-NoTerritoryChange,2.15,45.116
111,Battle-NoTerritoryChange,2.15,45.116
112,RemoteViolence,2.15,45.116
113,ViolenceAgainstCivilians,2.15,45.116
114,Battle-NoTerritoryChange,2.15,45.116
115,RemoteViolence,2.15,45.116
116,RemoteViolence,2.15,45.116
117,RemoteViolence,2.15,45.116
118,RemoteViolence,2.15,45.116
119,ViolenceAgainstCivilians,2.15,45.116
120,ViolenceAgainstCivilians,2.15,45.116
121,RiotsOrProtests,6.11982,1.19012
122,Battle-NoTerritoryChange,0.5172,42.071
123,Battle-NoTerritoryChange,0.5172,42.071
124,RemoteViolence,0.5172,42.071
125,Battle-GovernmentRegainsTerritory,11.1467,30.1492
126,Battle-NoTerritoryChange,11.1467,30.1492
127,Battle-NonStateActorTakesTerritory,11.1467,30.1492
128,RiotsOrProtests,30.42013,-9.59802
129,ViolenceAgainstCivilians,7.28333,39.81667
130,RiotsOrProtests,6.50525,3.10306
131,ViolenceAgainstCivilians,6.61426,3.32437
132,Battle-NoTerritoryChange,7.106,6.6966
133,ViolenceAgainstCivilians,6.8,-1.082
134,ViolenceAgainstCivilians,6.8,-1.082
135,RiotsOrProtests,4.867,-2.205
136,ViolenceAgainstCivilians,5.07395,6.65353
137,RiotsOrProtests,36.80277,2.92185
138,Battle-NoTerritoryChange,36.26405,1.9679
139,RiotsOrProtests,35.30343,-1.14517
140,StrategicDevelopment,30.75545,20.22626
141,RemoteViolence,30.75545,20.22626
142,Battle-GovernmentRegainsTerritory,30.75545,20.22626
143,Battle-GovernmentRegainsTerritory,30.75545,20.22626
144,Battle-GovernmentRegainsTerritory,30.75545,20.22626
145,Battle-NoTerritoryChange,30.75545,20.22626
146,Battle-NoTerritoryChange,30.75545,20.22626
147,Battle-NoTerritoryChange,30.75545,20.22626
148,RemoteViolence,30.75545,20.22626
149,RemoteViolence,30.75545,20.22626
150,ViolenceAgainstCivilians,30.75545,20.22626
151,ViolenceAgainstCivilians,7.28333,38.35
152,ViolenceAgainstCivilians,7.28333,38.35
153,RiotsOrProtests,7.28333,38.35
154,Battle-NoTerritoryChange,7.28333,38.35
155,Battle-NoTerritoryChange,11.1695,12.28404
156,RiotsOrProtests,5.31278,8.35536
157,ViolenceAgainstCivilians,5.0858,6.47089
158,Battle-NoTerritoryChange,7.779,33.00233
159,ViolenceAgainstCivilians,7.779,33.00233
160,ViolenceAgainstCivilians,9.152,28.02517
161,RiotsOrProtests,4.88688,7.35686
162,ViolenceAgainstCivilians,7.8669,8.0611
163,ViolenceAgainstCivilians,12.1704,31.30858
164,ViolenceAgainstCivilians,12.1704,31.30858
165,ViolenceAgainstCivilians,12.1704,31.30858
166,StrategicDevelopment,30.05061,31.21091
167,ViolenceAgainstCivilians,31.01252,29.80858
168,Battle-NoTerritoryChange,31.13159,33.79844
169,Battle-NoTerritoryChange,31.13159,33.79844
170,Battle-NoTerritoryChange,31.13159,33.79844
171,Battle-NoTerritoryChange,31.13159,33.79844
172,Battle-NoTerritoryChange,31.13159,33.79844
173,Battle-NoTerritoryChange,31.13159,33.79844
174,RemoteViolence,31.13159,33.79844
175,RemoteViolence,31.13159,33.79844
176,RemoteViolence,31.13159,33.79844
177,RemoteViolence,31.13159,33.79844
178,RemoteViolence,31.13159,33.79844
179,RemoteViolence,31.13159,33.79844
180,RemoteViolence,31.13159,33.79844
181,RemoteViolence,31.13159,33.79844
182,RemoteViolence,31.13159,33.79844
183,StrategicDevelopment,31.13159,33.79844
184,StrategicDevelopment,31.13159,33.79844
185,StrategicDevelopment,31.13159,33.79844
186,StrategicDevelopment,31.13159,33.79844
187,StrategicDevelopment,31.13159,33.79844
188,Battle-NoTerritoryChange,31.13159,33.79844
189,Battle-NoTerritoryChange,31.13159,33.79844
190,Battle-NoTerritoryChange,31.13159,33.79844
191,Battle-NoTerritoryChange,31.13159,33.79844
192,RemoteViolence,31.13159,33.79844
193,RemoteViolence,31.13159,33.79844
194,RemoteViolence,31.13159,33.79844
195,RemoteViolence,31.13159,33.79844
196,RemoteViolence,31.13159,33.79844
197,RemoteViolence,31.13159,33.79844
198,RemoteViolence,31.13159,33.79844
199,StrategicDevelopment,31.13159,33.79844
200,RemoteViolence,31.13159,33.79844
201,RemoteViolence,31.13159,33.79844
202,StrategicDevelopment,31.13159,33.79844
203,ViolenceAgainstCivilians,31.13159,33.79844
204,ViolenceAgainstCivilians,31.13159,33.79844
205,StrategicDevelopment,31.13159,33.79844
206,ViolenceAgainstCivilians,31.13159,33.79844
207,RemoteViolence,29.61972,31.2575
208,RemoteViolence,11.333333,30.55
209,RiotsOrProtests,32.76272,21.75506
210,StrategicDevelopment,32.76272,21.75506
211,NonViolentTerritoryTransfer,31.4004,15.72738
212,ViolenceAgainstCivilians,29.30995,30.8418
213,RiotsOrProtests,29.30995,30.8418
214,RiotsOrProtests,29.30995,30.8418
215,Battle-NoTerritoryChange,29.99313,31.1309
216,RemoteViolence,29.99313,31.1309
217,StrategicDevelopment,29.99313,31.1309
218,ViolenceAgainstCivilians,29.99313,31.1309
219,RiotsOrProtests,29.99313,31.1309
220,Battle-NoTerritoryChange,30.46687,33.78428
221,Battle-GovernmentRegainsTerritory,32.06478,20.14933
222,Battle-NoTerritoryChange,32.06478,20.14933
223,Battle-NoTerritoryChange,32.06478,20.14933
224,Battle-NoTerritoryChange,32.06478,20.14933
225,RemoteViolence,32.06478,20.14933
226,Battle-NoTerritoryChange,32.06478,20.14933
227,ViolenceAgainstCivilians,32.06478,20.14933
228,Battle-NoTerritoryChange,30.00808,31.21093
229,Battle-NoTerritoryChange,30.00808,31.21093
230,StrategicDevelopment,30.00808,31.21093
231,RiotsOrProtests,30.00808,31.21093
232,Battle-NoTerritoryChange,30.00808,31.21093
233,RemoteViolence,30.00808,31.21093
234,RiotsOrProtests,32.64861,14.26191
235,StrategicDevelopment,32.64861,14.26191
236,ViolenceAgainstCivilians,30.15293,31.31501
237,Battle-NoTerritoryChange,29.29444,31.21833
238,Battle-GovernmentRegainsTerritory,10.893283,30.03215
239,RemoteViolence,10.89328,30.03215
240,Battle-NoTerritoryChange,32.09709,20.12919
241,RemoteViolence,32.09709,20.12919
242,RemoteViolence,32.09709,20.12919
243,Battle-GovernmentRegainsTerritory,32.09709,20.12919
244,Battle-NoTerritoryChange,32.09709,20.12919
245,Battle-NoTerritoryChange,29.96667,31.25
246,RemoteViolence,31.17296,34.22191
247,RemoteViolence,31.17296,34.22191
248,Battle-NoTerritoryChange,10.89507,24.90259
249,Battle-GovernmentRegainsTerritory,11.64535,30.177367
250,RiotsOrProtests,30.1235,31.3115
251,ViolenceAgainstCivilians,30.1235,31.3115
252,RiotsOrProtests,30.1235,31.3115
253,RiotsOrProtests,34.60433,9.60815
254,RiotsOrProtests,34.60433,9.60815
255,RiotsOrProtests,34.60433,9.60815
256,RiotsOrProtests,34.60433,9.60815
257,RiotsOrProtests,34.60433,9.60815
258,RiotsOrProtests,34.60433,9.60815
259,RiotsOrProtests,34.60433,9.60815
260,RiotsOrProtests,34.60433,9.60815
261,RiotsOrProtests,30.03389,31.23215
262,RemoteViolence,32.03333,20.06667
263,RemoteViolence,32.03333,20.06667
264,RemoteViolence,10.360389,30.689639
265,Battle-NoTerritoryChange,30.10089,31.2167
266,Battle-GovernmentRegainsTerritory,10.8583,12.2005
267,Battle-GovernmentRegainsTerritory,10.8583,12.2005
268,RiotsOrProtests,8.01667,4.13333
269,RiotsOrProtests,6.60962,3.35658
270,RiotsOrProtests,6.60962,3.35658
271,RiotsOrProtests,-26.26786,28.12225
272,RiotsOrProtests,30.04001,31.25953
273,RiotsOrProtests,30.04001,31.25953
274,ViolenceAgainstCivilians,30.04001,31.25953
275,RiotsOrProtests,30.04001,31.25953
276,ViolenceAgainstCivilians,-18.48694,33.28667
277,ViolenceAgainstCivilians,-26.11667,28.1
278,RiotsOrProtests,31.1981,29.9192
279,StrategicDevelopment,31.1981,29.9192
280,ViolenceAgainstCivilians,31.1981,29.9192
281,ViolenceAgainstCivilians,31.1981,29.9192
282,ViolenceAgainstCivilians,31.1981,29.9192
283,RiotsOrProtests,31.1981,29.9192
284,Battle-NoTerritoryChange,32.69036,22.67273
285,Battle-NoTerritoryChange,32.69036,22.67273
286,ViolenceAgainstCivilians,7.83333,36.53333
287,RiotsOrProtests,7.83333,36.53333
288,StrategicDevelopment,36.7525,3.04197
289,StrategicDevelopment,36.7525,3.04197
290,RiotsOrProtests,36.7525,3.04197
291,RiotsOrProtests,36.7525,3.04197
292,RiotsOrProtests,36.7525,3.04197
293,RiotsOrProtests,7.25,39.93333
294,ViolenceAgainstCivilians,9.88333,37.05
295,RiotsOrProtests,-32.78749,26.8344
296,ViolenceAgainstCivilians,-32.78749,26.8344
297,StrategicDevelopment,-2.66732,27.99068
298,ViolenceAgainstCivilians,2.89342,43.80437
299,RemoteViolence,30.23356,34.24931
300,RemoteViolence,11.6138,11.0481
301,RiotsOrProtests,9.38694,43.5175
302,RemoteViolence,32.07239,20.33501
303,ViolenceAgainstCivilians,6.3267,7.6539
304,RiotsOrProtests,4.96917,6.10972
305,RiotsOrProtests,-17.98158,45.99055
306,ViolenceAgainstCivilians,-17.8333,48.4167
307,ViolenceAgainstCivilians,8.9833,37.85
308,ViolenceAgainstCivilians,8.9833,37.85
