fulcrum_id,FacilityType,latitude,longitude
1,,29.94644,30.91687
2,,29.94644,30.91687
3,,29.94644,30.91687
4,,5.10658,7.36667
5,,5.10658,7.36667
6,,5.10658,7.36667
7,,5.10658,7.36667
8,,5.10658,7.36667
9,,5.10658,7.36667
10,,5.10658,7.36667
11,,13.62649,13.25159
12,,8.46667,6.95
13,,8.46667,6.95
14,,6.31625,8.11691
15,,4.76492,6.84138
16,,4.1209,44.03645
17,,8.57286,36.12075
18,,-0.49056,42.19694
19,,-0.49056,42.19694
20,,14.43805,24.53052
21,,2.04045,45.36
22,,13.8167,20.8167
23,,7.15,3.35
24,,7.15,3.35
25,,6.8362,7.2349
26,,5.34111,-4.02809
27,,5.34111,-4.02809
28,,5.34111,-4.02809
29,,1.72452,44.65065
30,,1.72452,44.65065
31,,9.8667,38.45
32,,9.8667,38.45
33,,11.67952,30.4519
34,,11.67952,30.4519
35,,31.45162,15.24744
36,,30.53766,31.67875
37,,30.53766,31.67875
38,,30.72508,31.67148
39,,12.148154,30.794822
40,,12.14815,30.79482
41,,12.14815,30.79482
42,,7.71667,27.85
43,,22.3457,31.61624
44,,4.85678,6.64417
45,,7.0613,9.02815
46,,9.08333,7.53333
47,,9.08333,7.53333
48,,9.08333,7.53333
49,,9.08333,7.53333
50,,9.08333,7.53333
51,,9.08333,7.53333
52,,9.08333,7.53333
53,,9.08333,7.53333
54,,9.08333,7.53333
55,,9.08333,7.53333
56,,9.08333,7.53333
57,,9.08333,7.53333
58,,9.08333,7.53333
59,,9.08333,7.53333
60,,9.08333,7.53333
61,,9.08333,7.53333
62,,9.08333,7.53333
63,,9.08333,7.53333
64,,9.08333,7.53333
65,,9.08333,7.53333
66,,9.08333,7.53333
67,,9.08333,7.53333
68,,9.08333,7.53333
69,,9.08333,7.53333
70,,9.08333,7.53333
71,,9.08333,7.53333
72,,9.59525,28.43493
73,,9.59525,28.43493
74,,5.55602,-0.1969
75,,5.55602,-0.1969
76,,5.55602,-0.1969
77,,32.41423,14.79335
78,,14.00063,32.31757
79,,7,39.4
80,,7.8731,8.046
81,,6.5,13.5
82,,3.5484,46.54585
83,,9.03333,38.7
84,,9.03333,38.7
85,,9.03333,38.7
86,,9.03333,38.7
87,,9.03333,38.7
88,,9.03333,38.7
89,,9.03333,38.7
90,,9.03333,38.7
91,,9.03333,38.7
92,,9.03333,38.7
93,,9.03333,38.7
94,,9.03333,38.7
95,,9.03333,38.7
96,,9.03333,38.7
97,,7.621,5.2215
98,,7.621,5.2215
99,,7.621,5.2215
100,,7.621,5.2215
101,,7.621,5.2215
102,,7.621,5.2215
103,,8.19,30.32
104,,6.49698,48.78326
105,,6.49698,48.78326
106,,6.49698,48.78326
107,,2.15,45.116
108,,2.15,45.116
109,,2.15,45.116
110,,2.15,45.116
111,,2.15,45.116
112,,2.15,45.116
113,,2.15,45.116
114,,2.15,45.116
115,,2.15,45.116
116,,2.15,45.116
117,,2.15,45.116
118,,2.15,45.116
119,,2.15,45.116
120,,2.15,45.116
121,,6.11982,1.19012
122,,0.5172,42.071
123,,0.5172,42.071
124,,0.5172,42.071
125,,11.1467,30.1492
126,,11.1467,30.1492
127,,11.1467,30.1492
128,,30.42013,-9.59802
129,,7.28333,39.81667
130,,6.50525,3.10306
131,,6.61426,3.32437
132,,7.106,6.6966
133,,6.8,-1.082
134,,6.8,-1.082
135,,4.867,-2.205
136,,5.07395,6.65353
137,,36.80277,2.92185
138,,36.26405,1.9679
139,,35.30343,-1.14517
140,,30.75545,20.22626
141,,30.75545,20.22626
142,,30.75545,20.22626
143,,30.75545,20.22626
144,,30.75545,20.22626
145,,30.75545,20.22626
146,,30.75545,20.22626
147,,30.75545,20.22626
148,,30.75545,20.22626
149,,30.75545,20.22626
150,,30.75545,20.22626
151,,7.28333,38.35
152,,7.28333,38.35
153,,7.28333,38.35
154,,7.28333,38.35
155,,11.1695,12.28404
156,,5.31278,8.35536
157,,5.0858,6.47089
158,,7.779,33.00233
159,,7.779,33.00233
160,,9.152,28.02517
161,,4.88688,7.35686
162,,7.8669,8.0611
163,,12.1704,31.30858
164,,12.1704,31.30858
165,,12.1704,31.30858
166,,30.05061,31.21091
167,,31.01252,29.80858
168,,31.13159,33.79844
169,,31.13159,33.79844
170,,31.13159,33.79844
171,,31.13159,33.79844
172,,31.13159,33.79844
173,,31.13159,33.79844
174,,31.13159,33.79844
175,,31.13159,33.79844
176,,31.13159,33.79844
177,,31.13159,33.79844
178,,31.13159,33.79844
179,,31.13159,33.79844
180,,31.13159,33.79844
181,,31.13159,33.79844
182,,31.13159,33.79844
183,,31.13159,33.79844
184,,31.13159,33.79844
185,,31.13159,33.79844
186,,31.13159,33.79844
187,,31.13159,33.79844
188,,31.13159,33.79844
189,,31.13159,33.79844
190,,31.13159,33.79844
191,,31.13159,33.79844
192,,31.13159,33.79844
193,,31.13159,33.79844
194,,31.13159,33.79844
195,,31.13159,33.79844
196,,31.13159,33.79844
197,,31.13159,33.79844
198,,31.13159,33.79844
199,,31.13159,33.79844
200,,31.13159,33.79844
201,,31.13159,33.79844
202,,31.13159,33.79844
203,,31.13159,33.79844
204,,31.13159,33.79844
205,,31.13159,33.79844
206,,31.13159,33.79844
207,,29.61972,31.2575
208,,11.333333,30.55
209,,32.76272,21.75506
210,,32.76272,21.75506
211,,31.4004,15.72738
212,,29.30995,30.8418
213,,29.30995,30.8418
214,,29.30995,30.8418
215,,29.99313,31.1309
216,,29.99313,31.1309
217,,29.99313,31.1309
218,,29.99313,31.1309
219,,29.99313,31.1309
220,,30.46687,33.78428
221,,32.06478,20.14933
222,,32.06478,20.14933
223,,32.06478,20.14933
224,,32.06478,20.14933
225,,32.06478,20.14933
226,,32.06478,20.14933
227,,32.06478,20.14933
228,,30.00808,31.21093
229,,30.00808,31.21093
230,,30.00808,31.21093
231,,30.00808,31.21093
232,,30.00808,31.21093
233,,30.00808,31.21093
234,,32.64861,14.26191
235,,32.64861,14.26191
236,,30.15293,31.31501
237,,29.29444,31.21833
238,,10.893283,30.03215
239,,10.89328,30.03215
240,,32.09709,20.12919
241,,32.09709,20.12919
242,,32.09709,20.12919
243,,32.09709,20.12919
244,,32.09709,20.12919
245,,29.96667,31.25
246,,31.17296,34.22191
247,,31.17296,34.22191
248,,10.89507,24.90259
249,,11.64535,30.177367
250,,30.1235,31.3115
251,,30.1235,31.3115
252,,30.1235,31.3115
253,,34.60433,9.60815
254,,34.60433,9.60815
255,,34.60433,9.60815
256,,34.60433,9.60815
257,,34.60433,9.60815
258,,34.60433,9.60815
259,,34.60433,9.60815
260,,34.60433,9.60815
261,,30.03389,31.23215
262,,32.03333,20.06667
263,,32.03333,20.06667
264,,10.360389,30.689639
265,,30.10089,31.2167
266,,10.8583,12.2005
267,,10.8583,12.2005
268,,8.01667,4.13333
269,,6.60962,3.35658
270,,6.60962,3.35658
271,,-26.26786,28.12225
272,,30.04001,31.25953
273,,30.04001,31.25953
274,,30.04001,31.25953
275,,30.04001,31.25953
276,,-18.48694,33.28667
277,,-26.11667,28.1
278,,31.1981,29.9192
279,,31.1981,29.9192
280,,31.1981,29.9192
281,,31.1981,29.9192
282,,31.1981,29.9192
283,,31.1981,29.9192
284,,32.69036,22.67273
285,,32.69036,22.67273
286,,7.83333,36.53333
287,,7.83333,36.53333
288,,36.7525,3.04197
289,,36.7525,3.04197
290,,36.7525,3.04197
291,,36.7525,3.04197
292,,36.7525,3.04197
293,,7.25,39.93333
294,,9.88333,37.05
295,,-32.78749,26.8344
296,,-32.78749,26.8344
297,,-2.66732,27.99068
298,,2.89342,43.80437
299,,30.23356,34.24931
300,,11.6138,11.0481
301,,9.38694,43.5175
302,,32.07239,20.33501
303,,6.3267,7.6539
304,,4.96917,6.10972
305,,-17.98158,45.99055
306,,-17.8333,48.4167
307,,8.9833,37.85
308,,8.9833,37.85
309,,8.9833,37.85
310,,8.9833,37.85
311,,8.9833,37.85
312,,8.9833,37.85
313,,8.9833,37.85
314,,8.9833,37.85
315,,8.9833,37.85
316,,8.9833,37.85
317,,8.9833,37.85
318,,8.9833,37.85
319,,8.9833,37.85
320,,8.9833,37.85
321,,8.9833,37.85
322,,8.9833,37.85
323,,8.9833,37.85
324,,8.9833,37.85
325,,8.9833,37.85
326,,8.9833,37.85
327,,8.9833,37.85
328,,8.9833,37.85
329,,8.9833,37.85
330,,-18.9,47.53333
331,,11.2426,14.13716
332,,36.63471,3.59042
333,,9.98333,36.96667
334,,9.98333,36.96667
335,,9.98333,36.96667
336,,9.98333,36.96667
337,,9.98333,36.96667
338,,29.9096,33.7483
339,,30.77784,17.83544
340,,30.77784,17.83544
341,,-18.9,47.51667
342,,-18.9,47.51667
343,,15.4275,3.0175
344,,10.84205,30.517
345,,4.02959,25.84707
346,,10.50667,29.96
347,,-18.39983,47.85645
348,,14.68234,24.84959
349,,36.9,7.76667
350,,-12.2667,49.2833
351,,6.44556,3.35917
352,,6.44556,3.35917
353,,1.45182,42.95175
354,,1.45182,42.95175
355,,12.20598,23.91253
356,,7.70927,5.04474
357,,0.89894,29.70717
358,,0.89894,29.70717
359,,-25.7464,28.22137
360,,30.65,20.31667
361,,30.65,20.31667
362,,6.697446,3.415692
363,,36.86012,10.19337
364,,8.75,36.5
365,,13.76685,22.16691
366,,8,39
367,,7.3333,38.6667
368,,35.8517,-0.3214
369,,32.13581,20.07848
370,,32.13581,20.07848
371,,32.13581,20.07848
372,,32.13581,20.07848
373,,32.13581,20.07848
374,,32.13581,20.07848
375,,30.02952,31.24081
376,,30.65,18.36667
377,,30.65,18.36667
378,,30.65,18.36667
379,,6.20064,6.73385
380,,6.20064,6.73385
381,,6.20064,6.73385
382,,6.20064,6.73385
383,,6.20064,6.73385
384,,6.20064,6.73385
385,,9.27766,40.57245
386,,9.27766,40.57245
387,,9.27766,40.57245
388,,9.27766,40.57245
389,,9.27766,40.57245
390,,9.27766,40.57245
391,,4.542288,28.397607
392,,4.542288,28.397607
393,,4.542288,28.397607
394,,4.542288,28.397607
395,,7.1,39.2
396,,7.1,39.2
397,,7.1,39.2
398,,7.1,39.2
399,,7.1,39.2
400,,9.08333,40.86667
401,,9.08333,40.86667
402,,9.08333,40.86667
403,,9.08333,40.86667
404,,9.08333,40.86667
405,,9.08333,40.86667
406,,9.78333,38.55
407,,9.78333,38.55
408,,9.78333,38.55
409,,7.95,39.13333
410,,7.95,39.13333
411,,9.01911,38.02136
412,,11.12802,13.87621
413,,11.12802,13.87621
414,,11.13139,13.86639
415,,30.29857,30.97635
416,,28.60986,-9.42986
417,,28.60986,-9.42986
418,,36.50675,4.01311
419,,7.69973,-2.97847
420,,24.09082,32.89942
421,,32.76867,12.83939
422,,32.76867,12.83939
423,,32.76867,12.83939
424,,9.25333,31.33867
425,,36.32847,4.31055
426,,-33.96258,18.5016
427,,-33.96258,18.5016
428,,-33.56667,18.48333
429,,-25.77278,28.06778
430,,11.8482,12.9375
431,,11.8482,12.9375
432,,-29.94492,30.97781
433,,1.25,30.01667
434,,1.25,30.01667
435,,1.25,30.01667
436,,1.25,30.01667
437,,2.87971,44.27247
438,,9.35773,42.04582
439,,9.35773,42.04582
440,,9.35773,42.04582
441,,8.25611,44.15667
442,,7.05,38.4667
443,,1.9833,44.8333
444,,1.9833,44.8333
445,,9.35833,42.0425
446,,8.786284,27.401529
447,,8.786284,27.401529
448,,8.78628,27.40153
449,,6.2101,7.07412
450,,35.15,8.95
451,,32.81333,13.26972
452,,32.81333,13.26972
453,,8.12335,31.42889
454,,9.1,35.4
455,,9.1,35.4
456,,30.06418,31.22009
457,,30.06418,31.22009
458,,32.7571,12.72764
459,,32.7571,12.72764
460,,32.7571,12.72764
461,,32.7571,12.72764
462,,32.7571,12.72764
463,,30.9522,20.12022
464,,30.9522,20.12022
465,,-1.03,41.483
466,,-1.03,41.483
467,,-1.03,41.483
468,,2.33993,42.28598
469,,2.33993,42.28598
470,,2.33993,42.28598
471,,2.33993,42.28598
472,,2.33993,42.28598
473,,2.33993,42.28598
474,,2.33993,42.28598
475,,2.33993,42.28598
476,,2.33993,42.28598
477,,2.33993,42.28598
478,,36.79239,3.05217
479,,11.32056,27.79667
480,,11.32056,27.79667
481,,11.32056,27.79667
482,,10.33167,34.21444
483,,12.1076,11.7539
484,,12.1076,11.7539
485,,6.01667,10.56667
486,,9.2167,42.3333
487,,9.2167,42.3333
488,,9.2167,42.3333
489,,9.2167,42.3333
490,,9.2167,42.3333
491,,9.2167,42.3333
492,,9.2167,42.3333
493,,9.2167,42.3333
494,,9.2167,42.3333
495,,9.2167,42.3333
496,,9.2167,42.3333
497,,-1.03537,41.50047
498,,10.71344,48.33253
499,,30.13514,31.27421
500,,3.11718,43.6469
501,,3.11718,43.6469
502,,3.11718,43.6469
503,,3.11718,43.6469
504,,3.11718,43.6469
505,,3.11718,43.6469
506,,3.11718,43.6469
507,,3.11718,43.6469
508,,3.11718,43.6469
509,,3.11718,43.6469
510,,3.11718,43.6469
511,,3.11718,43.6469
512,,3.11718,43.6469
513,,3.11718,43.6469
514,,9.13333,37.05
515,,9.13306,42.07833
516,,9.13306,42.07833
517,,9,37.1667
518,,5.70193,22.78173
519,,5.70193,22.78173
520,,5.70193,22.78173
521,,32.06939,20.09273
522,,6.4167,39.75
523,,11.2,13.08333
524,,6.4167,39.75
525,,6.4167,39.75
526,,6.4167,39.75
527,,7.86667,10.96667
528,,10.04892,48.89237
529,,10.04892,48.89237
530,,8.08616,46.75012
531,,8.08616,46.75012
532,,10.88,50.4
533,,8.44057,46.84215
534,,8.44057,46.84215
535,,11.5221,13.68558
536,,12.65,-8
537,,5.76485,20.65418
538,,5.76485,20.65418
539,,5.76485,20.65418
540,,5.76485,20.65418
541,,5.76485,20.65418
542,,5.76485,20.65418
543,,5.76485,20.65418
544,,5.40096,27.2052
545,,11.15567,13.98562
546,,2.41592,42.8687
547,,-3.31667,17.36667
548,,10.6333,-4.7667
549,,10.6333,-4.7667
550,,4.14162,27.8997
551,,4.74009,22.82224
552,,4.74009,22.82224
553,,4.74009,22.82224
554,,5.90389,10.37816
555,,4.36197,18.58664
556,,4.36197,18.58664
557,,4.36197,18.58664
558,,4.36197,18.58664
559,,4.36197,18.58664
560,,4.36197,18.58664
561,,4.36197,18.58664
562,,4.36197,18.58664
563,,4.36197,18.58664
564,,4.36197,18.58664
565,,4.36197,18.58664
566,,4.36197,18.58664
567,,4.36197,18.58664
568,,4.36197,18.58664
569,,4.36197,18.58664
570,,4.36197,18.58664
571,,4.36197,18.58664
572,,30.45907,31.17858
573,,30.45907,31.17858
574,,29.07441,31.09785
575,,29.07441,31.09785
576,,29.07441,31.09785
577,,29.07441,31.09785
578,,31.75662,13.99422
579,,11.66207,14.02014
580,,32.08333,20.26667
581,,1.11477,44.03043
582,,1.11477,44.03043
583,,1.11477,44.03043
584,,1.11477,44.03043
585,,-4.05917,28.87083
586,,-33.97152,18.57504
587,,-33.97152,18.57504
588,,3.3516,44.1223
589,,2.3385,42.2843
590,,2.3385,42.2843
591,,14.4221,22.5186
592,,10.3,34.1263
593,,10.3,34.1263
594,,-2.04077,40.79127
595,,4.15765,30.40298
596,,9.08333,-12.75
597,,30.94228,30.81566
598,,30.94228,30.81566
599,,5.20194,-3.735
600,,5.20194,-3.735
601,,5.20194,-3.735
602,,7.30099,18.28514
603,,7.30099,18.28514
604,,7.30099,18.28514
605,,7.30099,18.28514
606,,35.5553,6.1786
607,,35.5553,6.1786
608,,35.5553,6.1786
609,,11.51148,29.0208
610,,10.31344,9.84327
611,,10.31344,9.84327
612,,2.91036,16.27484
613,,31.6167,-2.2167
614,,28.35,18.96667
615,,8.45,36.35
616,,9.11453,41.63348
617,,9.11453,41.63348
618,,9.11453,41.63348
619,,9.11453,41.63348
620,,9.11453,41.63348
621,,9.11453,41.63348
622,,8.90414,40.78191
623,,8.90414,40.78191
624,,8.90414,40.78191
625,,13.02255,22.054107
626,,9.26667,34.53333
627,,9.26667,34.53333
628,,9.26667,34.53333
629,,-19.8436,34.8389
630,,-19.8436,34.8389
631,,-22.21667,29.98333
632,,36.72564,9.18169
633,,36.72564,9.18169
634,,36.72564,9.18169
635,,36.72564,9.18169
636,,36.72564,9.18169
637,,36.72564,9.18169
638,,36.75,5.0833
639,,-24.21667,45.31667
